,id,construction_year,population,longitude,latitude,status_group,priority_scores
30537,12169,2008.0,30500.0,38.78375634,-5.18190371,functional,0.5471698113207547
4905,15841,1970.0,7000.0,38.80220448,-4.86717718,functional,0.5204018442918327
5174,61153,1961.0,1600.0,36.11237543,-2.73122099,functional,0.5167800119645123
35101,28532,1961.0,1500.0,37.84609672,-3.80203574,functional,0.5151406139514627
4978,58463,1962.0,1600.0,38.76557538,-5.14719268,functional,0.5073460497003613
7154,63325,1960.0,400.0,38.97554216,-5.12515172,functional,0.506541198072068
23901,43744,1960.0,350.0,37.91497642,-9.80267157,functional,0.5057214990655431
41208,25995,1960.0,350.0,33.46666227,-2.14975427,functional,0.5057214990655431
29085,24902,1960.0,350.0,37.91370069,-9.80664154,functional,0.5057214990655431
12311,42252,1962.0,1500.0,36.1119574,-2.66131845,functional,0.5057066516873118
11608,24095,1960.0,200.0,36.7354485,-3.48169006,functional,0.5032624020459687
27159,38214,1960.0,200.0,36.73346704,-3.4549796,functional,0.5032624020459687
17657,61521,1960.0,200.0,35.01872796,-4.54180181,functional,0.5032624020459687
51754,51324,1960.0,200.0,36.73504186,-3.47634976,functional,0.5032624020459687
18510,14426,1960.0,200.0,36.73103986,-3.46335212,functional,0.5032624020459687
34298,43161,1960.0,150.0,36.72295862,-3.13034467,functional,0.5024427030394439
35195,14402,1960.0,150.0,36.69679114,-3.10254646,functional,0.5024427030394439
6921,73691,1960.0,145.0,34.43730091,-4.18988902,functional,0.5023607331387915
8950,33782,1960.0,1.0,37.57884296,-3.26789605,functional,0.5
37559,20594,1960.0,1.0,37.57956929,-3.26489373,functional,0.5
10774,62443,1960.0,1.0,37.58155396,-3.25253336,functional,0.5
39434,13097,1960.0,1.0,35.03775767,-4.58007828,functional,0.5
28258,48255,1960.0,1.0,37.57043117,-3.27380598,functional,0.5
27325,64179,1960.0,1.0,35.00425707,-4.57904047,functional,0.5
50860,53154,1960.0,1.0,37.58535548,-3.26099014,functional,0.5
20400,28988,1960.0,1.0,34.88516482,-4.97784538,functional,0.5
40300,69910,1960.0,1.0,37.58186191,-3.26677738,functional,0.5
13258,48718,1960.0,1.0,37.58277583,-3.26875766,functional,0.5
33142,14036,1960.0,1.0,37.58047194,-3.26339445,functional,0.5
11268,13188,1960.0,1.0,37.57715843,-3.26845633,functional,0.5
18082,73016,1960.0,1.0,37.58419902,-3.26297045,functional,0.5
1023,61190,1960.0,1.0,37.5809503,-3.24999421,functional,0.5
14523,69065,1960.0,1.0,37.57981881,-3.25934221,functional,0.5
14304,72004,1971.0,6300.0,29.64114857,-4.88403506,functional,0.4994920959363345
11407,56458,1962.0,1000.0,36.68409854,-8.14534073,functional,0.4975096616220637
58716,47729,1961.0,100.0,38.32903069,-5.01777459,functional,0.49218904176876815
27226,61031,1962.0,1.0,38.36335703,-4.856186,functional,0.4811320754716981
49089,15664,1962.0,1.0,37.61428946,-3.04628472,functional,0.4811320754716981
16172,49489,1962.0,1.0,39.11301821,-4.6714995,functional,0.4811320754716981
35038,65024,1962.0,1.0,37.58107032,-3.16095703,functional,0.4811320754716981
28564,65729,1963.0,389.0,37.00367065,-3.35541575,functional,0.47805897749817966
13684,5307,1963.0,350.0,37.02724758,-3.31885157,functional,0.4774196122730903
13930,46076,1963.0,345.0,37.38140318,-3.31104624,functional,0.4773376423724378
29332,11750,1963.0,300.0,37.39298755,-3.28461616,functional,0.4765999132665655
45576,67005,1963.0,230.0,36.99595611,-3.33330119,functional,0.47545233465743075
44025,48423,1963.0,189.0,36.96694265,-3.27341027,functional,0.47478018147208045
41850,14015,1963.0,186.0,36.96730685,-3.28878053,functional,0.47473099953168896
10980,36842,1963.0,160.0,37.38435745,-3.29056752,functional,0.47430475604829603
35441,46794,1963.0,150.0,37.01714611,-3.29298362,functional,0.4741408162469911
7994,25433,1963.0,150.0,36.97253697,-3.26404973,functional,0.4741408162469911
36985,37893,1963.0,145.0,37.40387957,-3.29369733,functional,0.4740588463463386
6393,22797,1963.0,140.0,36.96719428,-3.27758911,functional,0.47397687644568615
50201,25775,1963.0,136.0,36.97681779999999,-3.28063056,functional,0.47391130052516417
8100,32421,1963.0,130.0,37.40278649,-3.2944465,functional,0.4738129366443812
17775,64087,1968.0,3000.0,35.18250348,-1.76552225,functional,0.4736938482981502
2571,54099,1963.0,120.0,36.97512198,-3.26416276,functional,0.4736489968430762
31112,34047,1963.0,120.0,36.96724657,-3.28148882,functional,0.4736489968430762
8167,3503,1963.0,120.0,37.39852745,-3.29731153,functional,0.4736489968430762
199,49259,1963.0,120.0,36.9805944,-3.2681787,functional,0.4736489968430762
14795,33562,1963.0,100.0,37.77430015,-7.07589297,functional,0.47332111724046627
294,74176,1963.0,100.0,37.37037474,-3.30815036,functional,0.47332111724046627
38920,32461,1963.0,98.0,36.96796321,-3.2941167,functional,0.4732883292802053
44858,13991,1963.0,90.0,37.39192797,-3.29844899,functional,0.4731571774391613
56734,65491,1963.0,89.0,36.98699903,-3.27110572,functional,0.4731407834590308
23016,64639,1963.0,88.0,37.39022692,-3.30203212,functional,0.47312438947890034
639,71856,1963.0,80.0,37.384505700000005,-3.29510498,functional,0.4729932376378564
13257,59675,1963.0,80.0,37.39538534,-3.30250768,functional,0.4729932376378564
10581,22126,1963.0,70.0,37.39137791,-3.30768799,functional,0.4728292978365514
27647,30641,1963.0,70.0,37.38760203,-3.30371204,functional,0.4728292978365514
29656,27853,1963.0,70.0,37.37267977,-3.30471307,functional,0.4728292978365514
52929,53386,1963.0,65.0,37.39347022,-3.30500157,functional,0.4727473279358989
28534,28847,1963.0,60.0,37.39401011,-3.30129722,functional,0.47266535803524645
53244,38079,1963.0,60.0,37.39645278,-3.30146782,functional,0.47266535803524645
13538,5402,1963.0,60.0,37.37551939,-3.30325339,functional,0.47266535803524645
28922,30386,1963.0,55.0,37.39691339,-3.29964076,functional,0.47258338813459394
38784,54976,1963.0,50.0,37.38860811,-3.30705513,functional,0.4725014182339415
1903,14315,1963.0,45.0,37.408514700000005,-3.28931354,functional,0.472419448333289
34269,55144,1963.0,35.0,37.38573229,-3.30507544,functional,0.47225550853198406
41714,53782,1963.0,1.0,38.34709856,-4.5770375,functional,0.4716981132075472
43229,5996,1963.0,1.0,38.3462053,-4.5760578,functional,0.4716981132075472
4925,58591,1971.0,4520.0,29.64258332,-4.88407736,functional,0.47031081130405145
51246,13938,1972.0,5000.0,36.41515529,-5.62241896,functional,0.4687459595025386
1616,64972,1964.0,285.0,35.81805587,-4.04098341,functional,0.4669200413004571
20598,30991,1974.0,6000.0,38.56784454,-6.06818331,functional,0.4662720151047328
24178,33645,1964.0,230.0,36.90804271,-3.36014421,functional,0.4660183723932798
8375,52550,1964.0,185.0,35.81283324,-4.02898715,functional,0.46528064328740754
14370,47689,1964.0,180.0,36.94612666,-3.3662152,functional,0.465198673386755
53886,61273,1965.0,750.0,35.50524889,-3.03875972,functional,0.46510927979698685
33587,5262,1964.0,150.0,36.90744425,-3.36867315,functional,0.4647068539828402
3219,67118,1964.0,120.0,36.90496813,-3.3697969,functional,0.46421503457892527
21526,26318,1964.0,120.0,36.90234986,-3.36969747,functional,0.46421503457892527
50125,60945,1964.0,120.0,39.03537367,-5.00139284,functional,0.46421503457892527
9753,20415,1965.0,675.0,37.93978143,-4.39195252,functional,0.46387973128719967
9928,67131,1964.0,1.0,35.61398755,-7.63149682,functional,0.46226415094339623
13756,41958,1964.0,1.0,35.62528486,-7.63628852,functional,0.46226415094339623
9347,59642,1964.0,1.0,35.62290979,-7.62464471,functional,0.46226415094339623
34023,11609,1965.0,380.0,36.94637187,-3.39484794,functional,0.4590435071487033
35489,64808,1965.0,230.0,36.90790738,-3.38419823,functional,0.45658441012912887
32846,4494,1965.0,135.0,37.94097626,-4.39102052,functional,0.45502698201673175
27390,4200,1965.0,60.0,37.937656200000006,-4.39096482,functional,0.45379743350694457
44274,57586,1965.0,56.0,37.93285878,-4.39173605,functional,0.4537318575864226
51628,28992,1965.0,50.0,31.35925988,-8.25492718,functional,0.4536334937056396
28063,52913,1965.0,48.0,37.93554364,-4.39149489,functional,0.4536007057453786
10782,8864,1965.0,35.0,37.94063612,-4.39144139,functional,0.4533875840036822
21733,1286,1965.0,28.0,37.9405185,-4.3920548,functional,0.4532728261427687
5814,31229,1965.0,1.0,38.86171652,-4.82449818,functional,0.4528301886792453
36799,41996,1966.0,350.0,39.10955266,-4.95419865,functional,0.4491177254806375
59125,34700,1966.0,300.0,38.88812205,-5.61344842,functional,0.44829802647411265
15878,71333,1968.0,1400.0,36.91069667,-3.43713555,functional,0.4474634800893565
1513,60194,1967.0,800.0,38.57946766,-5.22171207,functional,0.44706105427520976
1760,32271,1967.0,750.0,38.57977858,-5.19275921,functional,0.44624135526868497
50898,38327,1966.0,150.0,38.9001997,-5.63234294,functional,0.4458389294545383
59088,44609,1967.0,700.0,38.57623637,-5.18390519,functional,0.4454216562621602
35699,35476,1966.0,80.0,39.02726423,-10.9064296,functional,0.44469135084540357
21947,53009,1966.0,60.0,34.87514448,-9.60170424,functional,0.44436347124279363
30665,57677,1967.0,600.0,38.58669148,-5.22188889,functional,0.44378225824911055
18917,3822,1966.0,1.0,38.93276851,-5.52670579,functional,0.44339622641509435
34776,41445,1967.0,540.0,36.86559137,-6.29147973,functional,0.4427986194412808
33492,14060,1967.0,500.0,31.51254629,-8.30434292,functional,0.442142860236061
30352,66475,1967.0,400.0,36.86971486,-6.30724337,functional,0.44050346222301134
41579,73179,1968.0,950.0,30.22456439,-4.34251608,functional,0.44008618903063323
34890,25337,1967.0,350.0,36.70151798,-3.03668379,functional,0.43968376321648656
7826,19588,1967.0,270.0,36.8779963,-6.31696948,functional,0.43837224480604686
2253,61970,1967.0,250.0,36.69375124,-3.0354578,functional,0.4380443652034369
9804,54912,1967.0,250.0,34.43239129999999,-9.29835993,functional,0.4380443652034369
4272,10812,1967.0,250.0,38.58582647,-5.20469254,functional,0.4380443652034369
