,id,date_recorded,funder,gps_height,installer,longitude,latitude,num_private,basin,region,region_code,district_code,lga,population,public_meeting,scheme_management,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group,status_group,nearest_functional_dist,priority_scores
14308,49354,2013-02-21,water board,1084.0,water board,36.38604993,-4.78767794,0,internal,manyara,21,5,kiteto,15300.0,True,vwc,False,1983.0,submersible,submersible,submersible,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,functional needs repair,0.214713952307617,0.8216212291229997
19801,25912,2013-03-14,,814.0,,36.01293837,-3.00261659,0,internal,arusha,2,1,monduli,1.0,False,vwc,,1990.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.18492679983412336,0.4026959833735424
58425,46717,2013-03-14,,861.0,,35.98092166,-2.99280459,0,internal,arusha,2,1,monduli,1.0,False,vwc,,1990.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.17849757006067835,0.3937242557050938
27215,43008,2013-03-26,serikali,1073.0,serikari,35.33584213,-3.37389605,0,internal,arusha,24,30,karatu,2807.0,True,vwc,True,1973.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,seasonal,seasonal,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair,0.05698848624838537,0.39221842245993976
11446,57425,2013-03-14,,873.0,,35.974926700000005,-2.99346307,0,internal,arusha,2,1,monduli,1.0,False,vwc,,1990.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.17269573128760218,0.3856280265637306
8039,59833,2013-03-14,,879.0,,35.96993512,-2.98680857,0,internal,arusha,2,1,monduli,1.0,False,vwc,,1990.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.16750985813198008,0.3783913522940491
50899,15465,2013-02-21,tanload,1105.0,tanload,36.31582504,-4.69648222,0,internal,manyara,21,5,kiteto,850.0,True,vwc,True,2009.0,other,other,other,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,other,other,functional needs repair,0.23888139730172156,0.376988507079634
46124,23048,2013-03-27,ncaa,2046.0,ncaa,35.55021282,-3.05369396,0,internal,arusha,2,5,ngorongoro,350.0,True,water board,True,1965.0,gravity,gravity,gravity,water board,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe multiple,communal standpipe,functional needs repair,0.04737917818433158,0.3755905801281991
8689,67418,2012-12-13,government of tanzania,1150.0,government,33.69353953,-1.4942857,0,lake victoria,mara,20,3,musoma rural,500.0,False,parastatal,True,1967.0,gravity,gravity,gravity,parastatal,parastatal,never pay,never pay,soft,good,enough,enough,lake,river/lake,surface,communal standpipe,communal standpipe,functional needs repair,0.05156164276288293,0.3721166098048715
56368,19832,2013-01-17,,1692.0,,35.08600678,-4.6563914,0,internal,singida,13,2,singida rural,1.0,True,vwc,,1960.0,mono,mono,motorpump,vwc,user-group,,,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,functional needs repair,0.025127424184503772,0.3683817239232109
14456,17917,2013-01-17,,1696.0,,35.08593495,-4.65915978,0,internal,singida,13,2,singida rural,1.0,True,vwc,,1960.0,mono,mono,motorpump,vwc,user-group,,,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,functional needs repair,0.02364290279517989,0.36631013493163184
2755,39274,2013-03-16,ministry of water,1911.0,dwe,36.23434486,-2.9372418,0,internal,arusha,2,6,longido,6000.0,True,vwc,True,1978.0,gravity,gravity,gravity,vwc,user-group,pay when scheme fails,on failure,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair,0.008415217138904208,0.3625586847284378
40298,55716,2012-12-13,government of tanzania,1156.0,government,33.69452943,-1.49854104,0,lake victoria,mara,20,3,musoma rural,320.0,False,vwc,True,1967.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,lake,river/lake,surface,communal standpipe,communal standpipe,functional needs repair,0.047246967266904444,0.3621738313457382
28457,1783,2013-02-20,government of tanzania,779.0,central govt,37.84574765,-3.80183013,0,pangani,kilimanjaro,3,2,mwanga,1500.0,True,vwc,False,1961.0,submersible,submersible,submersible,vwc,user-group,pay per bucket,per bucket,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,functional needs repair,0.00040512385390034504,0.3602535416668285
34824,51338,2012-12-13,government of tanzania,1178.0,government,33.70211509,-1.50020579,0,lake victoria,mara,20,3,musoma rural,320.0,False,vwc,True,1967.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,lake,river/lake,surface,communal standpipe multiple,communal standpipe,functional needs repair,0.04327219662350105,0.35662720118726254
12037,36641,2012-12-13,government of tanzania,1179.0,government,33.7041488,-1.50107619,0,lake victoria,mara,20,3,musoma rural,320.0,False,vwc,True,1967.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,lake,river/lake,surface,communal standpipe multiple,communal standpipe,functional needs repair,0.04197007828175982,0.3548101482017796
44285,17090,2012-12-13,government of tanzania,1179.0,government,33.70534198,-1.50107453,0,lake victoria,mara,20,3,musoma rural,320.0,False,vwc,True,1967.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,lake,river/lake,surface,communal standpipe multiple,communal standpipe,functional needs repair,0.0417031006378061,0.35443759179929885
27030,22919,2013-03-18,ministry of water,1237.0,dwe,36.19572589,-2.61350568,0,internal,arusha,2,6,longido,600.0,True,vwc,True,1961.0,gravity,gravity,gravity,vwc,user-group,pay when scheme fails,on failure,soft,good,insufficient,insufficient,river,river/lake,surface,cattle trough,cattle trough,functional needs repair,0.010083838841016109,0.3541506685077408
21941,65752,2012-12-13,government of tanzania,1185.0,government,33.70729954,-1.50208679,0,lake victoria,mara,20,3,musoma rural,320.0,False,vwc,True,1967.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,lake,river/lake,surface,communal standpipe multiple,communal standpipe,functional needs repair,0.04008786303262557,0.35218359366512547
14559,41653,2013-01-17,,1591.0,,35.09620935,-4.6634005,0,internal,singida,13,2,singida rural,1.0,True,vwc,,1960.0,mono,mono,motorpump,vwc,user-group,,,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,functional needs repair,0.012765913531401458,0.3511317404791079
5160,39865,2012-12-13,government of tanzania,1180.0,government,33.70905051,-1.5031522,0,lake victoria,mara,20,3,musoma rural,320.0,,vwc,True,1967.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,enough,enough,lake,river/lake,surface,communal standpipe multiple,communal standpipe,functional needs repair,0.03853913852681482,0.350022411845652
51610,4975,2012-12-13,government of tanzania,1178.0,government,33.71216672,-1.5036556,0,lake victoria,mara,20,3,musoma rural,320.0,,vwc,True,1967.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,enough,enough,lake,river/lake,surface,communal standpipe,communal standpipe,functional needs repair,0.03726620957405047,0.3482460914607973
1922,35123,2012-12-13,government of tanzania,1177.0,government,33.71525653,-1.50506034,0,lake victoria,mara,20,3,musoma rural,320.0,,vwc,True,1967.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,enough,enough,lake,river/lake,surface,communal standpipe,communal standpipe,functional needs repair,0.035335130757258394,0.3455513498103857
