,id,construction_year,population,longitude,latitude,status_group,priority_scores
12784,33117,2010.0,9865.0,39.05669488,-6.72169757,non functional,0.6334083332147605
18798,72820,2011.0,8848.0,31.31916107,-7.20512967,non functional,0.6261696176861969
51919,69166,2010.0,9000.0,31.36666687,-7.31506343,non functional,0.6192275404018814
6684,418,2010.0,9000.0,31.14898176,-6.38209147,non functional,0.6192275404018814
46922,42627,2011.0,8000.0,36.59960917,-5.73361395,non functional,0.6122675225355363
26985,61539,2010.0,8000.0,39.06390873,-7.36520569,non functional,0.6028335602713853
31473,16664,2008.0,9000.0,33.7780613,-6.46207023,non functional,0.6003596158735796
18414,17584,2012.0,6000.0,33.54412306,-2.06452522,non functional,0.588913524538695
40786,8815,2012.0,6000.0,33.54384214,-2.0643735,non functional,0.588913524538695
10955,55949,2010.0,6922.0,39.28909202,-6.97404508,non functional,0.5851608496907106
17810,19898,2010.0,6800.0,34.17019613,-1.20032794,non functional,0.58316078411479
4209,9861,2012.0,5000.0,34.23488894,-1.36976353,non functional,0.572519544408199
28312,42705,2010.0,6000.0,31.17609611,-6.35825087,non functional,0.5700456000103932
11296,5234,2010.0,6000.0,31.39018044,-7.25855597,non functional,0.5700456000103932
12339,5272,2010.0,6000.0,31.22207603,-6.37376568,non functional,0.5700456000103932
30988,60369,2010.0,6000.0,31.23699872,-7.0959345,non functional,0.5700456000103932
20001,7686,2011.0,5153.0,39.12386393,-7.377984599999999,non functional,0.5655938611040139
41073,29530,2010.0,5000.0,38.35253395,-6.63474875,non functional,0.5536516198798971
40199,50794,2010.0,5000.0,38.10822747,-5.33397162,non functional,0.5536516198798971
28470,23340,2008.0,6000.0,38.42503457,-5.97850498,non functional,0.5511776754820913
8964,44743,2010.0,4782.0,39.19673173,-7.11886733,non functional,0.550077732211449
9967,23248,2009.0,4782.0,39.19868305,-7.11883137,non functional,0.540643769947298
24797,4266,2012.0,3000.0,33.54319372,-2.07176111,non functional,0.5397315841472068
3394,13149,2010.0,4000.0,39.21010529,-7.05912411,non functional,0.537257639749401
5455,36921,2010.0,3981.0,39.03908798,-6.75276206,non functional,0.5369461541269216
23898,24551,2009.0,4530.0,31.71999713,-7.93225518,non functional,0.536512486954413
46702,7728,2012.0,2500.0,34.4475112,-1.85757887,non functional,0.5315345940819588
22110,38195,2005.0,6500.0,31.03965424,-5.10612228,non functional,0.5310727787548866
25822,72622,2005.0,6500.0,31.03962253,-5.10469714,non functional,0.5310727787548866
11398,903,2011.0,3000.0,29.78721281,-4.82355118,non functional,0.5302976218830558
12334,72547,2011.0,3000.0,34.92454973,-2.67452341,non functional,0.5302976218830558
8549,65941,2011.0,3000.0,39.61435147,-10.05317583,non functional,0.5302976218830558
7974,3281,2011.0,3000.0,34.08663715,-1.50162057,non functional,0.5302976218830558
1026,21792,2007.0,5153.0,39.02531107,-7.47733382,non functional,0.5278580120474101
3313,8778,2009.0,4000.0,35.69846669,-10.63818515,non functional,0.52782367748525
9850,14287,2011.0,2685.0,39.01544618,-6.75535371,non functional,0.5251335181419496
25269,49195,2010.0,3236.0,39.06540729,-6.66272741,non functional,0.524732638929702
38490,24124,2013.0,1500.0,37.69725145,-4.02904892,non functional,0.5245745762156137
33895,27428,2009.0,3800.0,35.63682243,-10.66876935,non functional,0.5245448814591509
49878,35404,2008.0,4310.0,39.1336679,-7.27250934,non functional,0.5234718490615529
21625,6434,2012.0,2000.0,40.02101863,-10.71752156,non functional,0.5233376040167107
11460,11634,2011.0,2400.0,30.27139037,-4.87449504,non functional,0.5204612338047582
2784,23670,2012.0,1800.0,33.54478049,-2.03129277,non functional,0.5200588079906115
29132,17805,2009.0,3500.0,33.86175358,-1.45361415,non functional,0.5196266874200021
39830,33188,2008.0,4005.0,39.2210146,-7.13476896,non functional,0.5184716851217516
9520,9988,2008.0,4005.0,39.21933353,-7.13456367,non functional,0.5184716851217516
56178,47372,2006.0,5153.0,39.1138888,-7.46513657,non functional,0.5184240497832592
23923,14328,2012.0,1500.0,34.48524451,-5.70440161,non functional,0.5151406139514627
2281,15865,2011.0,2000.0,36.34753822,-5.00271265,non functional,0.5139036417525598
6491,13524,2012.0,1300.0,37.57362635,-3.66226179,non functional,0.5118618179253634
58105,57652,2012.0,1280.0,33.54339997,-2.06623483,non functional,0.5115339383227535
13387,19534,2012.0,1280.0,33.54430817,-2.06620004,non functional,0.5115339383227535
1764,65630,2011.0,1800.0,39.99456532,-10.71930205,non functional,0.5106248457264606
22166,70891,2011.0,1800.0,34.02030781,-1.42399916,non functional,0.5106248457264606
33960,22363,2008.0,3500.0,33.77285408,-6.47177114,non functional,0.5101927251558511
40178,24511,2010.0,2345.0,39.62888204,-10.52793746,non functional,0.51012560263343
33917,39127,2013.0,540.0,29.98166094,-4.68335392,non functional,0.5088363552903374
42429,23415,2011.0,1625.0,38.62290414,-7.86833559,non functional,0.5077558992036237
12007,635,2013.0,370.0,30.48748922,-6.81438832,non functional,0.506049378668153
19520,23558,2013.0,320.0,38.07886467,-4.47944287,non functional,0.5052296796616282
44024,60123,2013.0,320.0,37.69533201,-4.03114532,non functional,0.5052296796616282
49948,16453,2013.0,320.0,38.06414465,-4.47127971,non functional,0.5052296796616282
46044,35524,2013.0,300.0,30.90317832,-3.31841221,non functional,0.5049018000590183
1786,33450,2012.0,860.0,34.04928309,-1.27460797,non functional,0.5046484666679452
2057,61170,2013.0,270.0,29.82813464,-4.47630062,non functional,0.5044099806551035
51831,52515,2013.0,250.0,38.07271524,-4.48084596,non functional,0.5040821010524935
34289,68084,2013.0,250.0,38.07834656,-4.48180342,non functional,0.5040821010524935
38519,28927,2012.0,820.0,38.95727163,-10.40204606,non functional,0.5039927074627254
45261,38750,2013.0,240.0,38.07439216,-4.48112752,non functional,0.5039181612511886
8445,42692,2013.0,240.0,38.07465560000001,-4.46386152,non functional,0.5039181612511886
21564,68624,2004.0,5400.0,39.00450166,-7.35900079,non functional,0.5036054383471898
27131,39238,2013.0,210.0,38.0517802,-4.25119904,non functional,0.5034263418472736
11182,58325,2013.0,210.0,38.07562314,-4.45853566,non functional,0.5034263418472736
1877,66694,2013.0,210.0,38.05072597,-4.26097274,non functional,0.5034263418472736
54739,9851,2013.0,210.0,38.07931869,-4.48305656,non functional,0.5034263418472736
28427,44276,2013.0,210.0,38.07414073,-4.46516118,non functional,0.5034263418472736
13258,54452,2013.0,210.0,38.07280692,-4.46484514,non functional,0.5034263418472736
14528,26674,2013.0,210.0,38.07035544,-4.45804205,non functional,0.5034263418472736
12797,3420,2013.0,201.0,38.0759468,-4.4821635,non functional,0.5032787960260993
10853,621,2013.0,200.0,38.07624467,-4.46151394,non functional,0.5032624020459687
35407,7072,2013.0,200.0,38.07704043,-4.4647892,non functional,0.5032624020459687
11367,23180,2013.0,200.0,38.07206945,-4.46295419,non functional,0.5032624020459687
12343,42016,2009.0,2500.0,39.06797311,-7.36367217,non functional,0.503232707289506
14498,71203,2009.0,2500.0,39.10215902,-7.30428357,non functional,0.503232707289506
54537,65769,2013.0,180.0,38.06648333,-4.46837726,non functional,0.5029345224433588
608,56357,2012.0,750.0,31.0511087,-5.13285611,non functional,0.5028451288535907
5059,52930,2010.0,1900.0,38.49602842,-6.17962653,non functional,0.5028302814753592
12080,21298,2013.0,170.0,38.07699869,-4.46247933,non functional,0.5027705826420539
6169,39623,2013.0,170.0,38.07394573,-4.46053917,non functional,0.5027705826420539
52543,15791,2007.0,3620.0,37.42952633,-3.69116814,non functional,0.5027260405073597
45655,70517,2012.0,733.0,33.59774453,-1.99904401,non functional,0.5025664311913722
56430,69771,2013.0,154.0,38.07183329,-4.46508941,non functional,0.5025082789599659
26887,72963,2009.0,2450.0,34.55931941,-1.69753355,non functional,0.5024130082829812
5169,39566,2009.0,2445.0,39.23155746,-7.07167502,non functional,0.5023310383823286
38089,18024,2013.0,140.0,38.07041628,-4.46232806,non functional,0.5022787632381389
20462,51904,2013.0,140.0,38.04261068,-4.26080464,non functional,0.5022787632381389
593,22928,2013.0,140.0,38.07832005,-4.48076136,non functional,0.5022787632381389
19058,19436,2013.0,140.0,38.07056634,-4.46549162,non functional,0.5022787632381389
55781,5490,2013.0,140.0,38.07456542,-4.46613143,non functional,0.5022787632381389
43258,46693,2013.0,140.0,38.07752573,-4.45906416,non functional,0.5022787632381389
5259,24647,2013.0,130.0,36.88410101,-3.37000974,non functional,0.502114823436834
35708,18689,2012.0,700.0,39.63649177,-10.04939568,non functional,0.5020254298470658
5934,17696,2012.0,700.0,34.09895807,-1.97976308,non functional,0.5020254298470658
